# Omega_Matter_0 = 0.302   | Omega_Lambda_0 = 0.698   | Omega_K_0 = 0.0   | h = 1.0   |
# RA  DEC  CZ_obs  Mr  HaloID  logMHalo  NGal_H  FLAG  CZ_real  DIST_C  Vp_tot  Vp_tang  Morph  logMstar  r_mag  u_mag  FSMGR  Gal_Match_flag  u_r  mhi_mass  GroupID  Group_NGals  Group_Rproj  Group_CZdisp  Group_logMHalo  Group_Gal_Type
  212.106312      4.496177     2775.65496     -18.902         302140     13.497          17       0    3281.745362    4.44481534e-01    1002.97211     865.92469        ET     10.660000    -19.007118    -17.195122      0.240085         ECO      1.811996    1.122020e+09              36          17      0.236390    257.230000     13.859           0
  211.969136      4.645605     2879.20292     -21.982         302140     13.497          17       0    3282.540335    3.33643300e-01    1189.83733    1119.38903        LT     10.400000    -22.020905    -19.575005      0.135205         ECO      2.445900    4.677349e+09              36          17      0.236390    257.230000     13.859           0
  212.005719      5.509438     2673.97909     -19.634         302140     13.497          17       0    3292.328501    4.14929270e-01    1009.86083     798.41274        ET      9.820000    -19.663139    -17.337887      0.275494         ECO      2.325253    3.715355e+08              36          17      0.236390    257.230000     13.859           0
  212.098407      5.324459     2707.46790     -21.069         302140     13.497          17       0    3279.021069    2.39290071e-01     994.89436     814.33516        LT      9.190000    -21.113766    -18.873276      0.369656         ECO      2.240490    1.230268e+09              36          17      0.236390    257.230000     13.859           0
  212.034809      4.977174     3415.04103     -20.070         302140     13.497          17       0    3291.996048    1.49467382e-01     662.19232     650.66013        LT     10.170000    -20.083624    -18.582172      1.572626         ECO      1.501451    3.548135e+09              36          17      0.236390    257.230000     13.859           0
  212.091326      5.064387     2937.05045     -21.699         302140     13.497          17       0    3282.566120    2.36975336e-02    1205.10129    1154.50770        LT      9.230000    -21.756538    -19.674046      0.576246         ECO      2.082493    1.778278e+09              36          17      0.236390    257.230000     13.859           0
  212.072741      5.025849     2730.14851     -20.975         302140     13.497          17       0    3283.228109    1.60309961e-02    1024.10102     861.90827        LT     11.060000    -19.758850    -18.511147      4.117608         ECO      1.247704    5.370318e+09              36          17      0.236390    257.230000     13.859           0
  211.087234      3.402649     3375.15985     -18.947         302148     11.774           1       1    3271.091928    0.00000000e+00     603.99456     594.96159        LT     10.461939    -18.876934    -17.784134      5.917758         ECO      1.092800    5.370311e+09              38           1      0.000000      0.000000     11.346           1
  211.252926      4.188340     3349.28486     -19.333         302171     11.283           1       1    3181.551957    0.00000000e+00     864.66206     848.23708        ET      9.167832    -19.386913    -17.097420      0.071949         ECO      2.289494    3.890450e+08              39           3      0.136103    189.340000     12.195           0
  212.197331      2.983055     3377.05188     -20.878         302274     11.990           1       1    3439.729113    0.00000000e+00     347.72323     342.02779        LT     10.768841    -20.921368    -18.685291      0.157861         ECO      2.236076    1.288250e+09              40           1      0.000000      0.000000     12.076           1
  211.448529      3.810601     3667.92201     -20.435         302295     11.812           1       1    3398.731532    0.00000000e+00     411.95828     311.84309        LT     10.365099    -20.482819    -17.951073      0.077527         ECO      2.531746    1.288250e+09              39           3      0.136103    189.340000     12.195           1
  213.360510      3.595624     3664.86708     -20.104         302303     14.081          46       0    3347.525810    4.98877387e-01     705.65434     630.27182        LT      9.580000    -20.162172    -18.039845      0.305526         ECO      2.122328    5.623409e+08              41         130      0.368195    706.910000     14.350           0
  212.156645      4.445998     3133.19886     -19.926         302303     14.081          46       0    3353.685591    1.03769033e+00     852.57741     823.57382        LT      9.200000    -19.976830    -17.975319      0.226088         ECO      2.001511    1.548816e+09              36          17      0.236390    257.230000     13.859           0
